clean_text_PhoBERT,topic_label,pred_topic_label
quy_tắc .,Giảng viên,Khác
"chào quý thầy_cô , phương_pháp học_tập mới cdio em cảm_thấy được áp_dụng không hợp_lý , ví_dụ tuần này thầy wzjwz39 đang dạy vấn_đề đó , do kiến_thức còn nhiều nên sinh_viên chưa nắm , đến tuần sau thầy toàn vào lại dạy một kiến_thức hoàn_toàn khác .",Khác,Giảng viên
cần có giờ ra chơi giữa giờ vì học liên_tục năm tiết đôi_khi khiến sinh_viên mệt mà khó tiếp_thu bài giảng .,Khác,Chương trình
cô rất tận_tình trong việc củng_cố kiến_thức .,Chương trình,Giảng viên
cần cho thêm nhiều bài_tập về nhà .,Giảng viên,Chương trình
em học được nhiều thứ từ môn này ạ colonlove .,Chương trình,Khác
hoạt_động nhóm .,Khác,Chương trình
những tiết thực_hành rất bổ_ích ạ .,Chương trình,Giảng viên
"cô nhiệt_tình , dạy có tâm .",Chương trình,Giảng viên
định_hướng_từ sớm về cách tiếp_cận đồ_án đối_với sinh_viên .,Chương trình,Giảng viên
đó là một động_lực rất lớn để tụi em hoàn_thành hết tất_cả bài_tập của thầy .,Khác,Giảng viên
đến lớp đúng giờ !,Chương trình,Giảng viên
học khó hiểu .,Khác,Giảng viên
làm cho các bạn bị thiệt_thòi .,Khác,Giảng viên
"hôm trước lúc hỏi vấn_đề này tốt chưa thầy , thầy bảo tốt rồi , hôm sau lên báo_cáo thì nhè chỗ đó ra mà chửi .",Khác,Giảng viên
"có_thể không chữa cũng được , ai thắc_mắc sẽ hỏi riêng .",Giảng viên,Khác
sử_dụng nhiều ví_dụ giúp sinh_viên nắm kiến_thức nhanh .,Khác,Giảng viên
đề thi lẫn lý_thuyết và trắc_nghiệm khó hơn nhiều so với kiến_thức đã được học .,Giảng viên,Chương trình
"ngoài thời_gian cố_định như trong thời_khoá_biểu của nhà_trường , em đều cố_gắng sắp_xếp đi đủ .",Khác,Chương trình
"nên trả_lời những câu hỏi của sinh_viên một_cách nhanh nhất , không nên lẫn tránh hoặc bỏ_qua những câu hỏi của sinh_viên .",Khác,Giảng viên
đi học rất ít nên rất mất_công người đi dậy .,Chương trình,Giảng viên
"cài phầm mềm của khoa wzjwz189 cực_kỳ khó_chịu , không biết mình sai chỗ nào .",Cơ sở vật chất,Khác
hầu_như chúng_em không tiếp_thu được gì .,Khác,Chương trình
nên trang_bị kiến_thức nền vững_chắc cho những môn chuyên_ngành .,Giảng viên,Chương trình
chô tiếng việt giống như là copy nguyên_văn từ google dịch vậy .,Khác,Giảng viên
em thấy vấn_đề điểm_danh khi đi học là không hiệu_quả .,Giảng viên,Chương trình
"tạo ra một môi_trường năng_động , giúp_đỡ nhiều cho sinh_viên trong kỹ_năng học_tập và làm_việc cũng như cách cư_xử trong cuộc_sống .",Chương trình,Giảng viên
có một_ít áp_lực .,Giảng viên,Khác
phân_bố thời_gian khoảng 3 tiết .,Chương trình,Giảng viên
em tiếp_thu chậm .,Giảng viên,Khác
