clean_text_PhoBERT,true_sentiment,pred_sentiment,true_topic,pred_topic
"còn khoảng 15 - 20 phút cuối giờ mới mở slide lên và đọc slide , lướt rất nhanh nên sinh_viên không_thể hiểu bài được .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
chúng_em đã nghỉ khoảng 4 tuần như_thế .,Trung tính,Tiêu cực,Khác,Khác
"em là sinh_viên khó_khăn , phải vừa làm vừa học , nên thời_gian trống không được linh_hoạt .",Tiêu cực,Tiêu cực,Khác,Chương trình
"không tiếp_cận lắm với sinh_viên , hơi chán .",Tiêu cực,Tiêu cực,Giảng viên,Khác
có thời_gian để ngủ trên lớp .,Trung tính,Tiêu cực,Giảng viên,Chương trình
"nhiều hoạt_động bổ_ích , trình_độ cao , phát_âm chuẩn , tốt .",Tích cực,Tích cực,Giảng viên,Chương trình
làm_sao có_thể tìm thấy điểm không hài_lòng được .,Tích cực,Trung tính,Khác,Khác
"mong các môn_học tới đề_cương môn_học và tài_liệu tham_khảo , cũng như sự tương_tác với sinh_viên của thầy sẽ được cải_thiện nhiều hơn .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
học được nhiều điều mới không nằm trong sách_vở .,Tích cực,Tiêu cực,Khác,Khác
"thầy có thái_độ phân_biệt , chỉ quan_tâm đến một_vài sinh_viên .",Tiêu cực,Trung tính,Giảng viên,Giảng viên
cho sinh_viên hiểu rõ về nội_dung môn_học .,Tiêu cực,Tích cực,Chương trình,Chương trình
thường_xuyên điểm_danh .,Tiêu cực,Trung tính,Giảng viên,Giảng viên
"mỗi khi chúng_em cần hỏi gì , cô đều giúp_đỡ .",Tích cực,Tiêu cực,Giảng viên,Khác
"cô giảng lý_thuyết hơn dài , bài_tập áp_dụng ít chỉ toàn những bài cơ_bản , khó áp_dụng những bài đó để giải những bài khác nâng_cấp hơn .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
đó là điều mà em mong_muốn mỗi khi đến lớp .,Tích cực,Trung tính,Khác,Khác
thầy không có dạy .,Tiêu cực,Trung tính,Giảng viên,Giảng viên
đây là những ví_dụ nhập_môn mà các em học_sinh lớp 8 - 9 khi bắt_đầu được học về quy_hoạch_động để đi thi học_sinh giỏi .,Trung tính,Tiêu cực,Chương trình,Chương trình
mến cô .,Tích cực,Trung tính,Giảng viên,Giảng viên
"thích nhất phần thuật_toán dijktra , vì phần này nhờ cấu_trúc rời_rạc nên thầy giảng thì em biết .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
"không có , chỉ là do em lười học nên không tiếp_thu được .",Trung tính,Tiêu cực,Khác,Khác
theo sát quá_trình thực_hành của sinh_viên .,Tích cực,Tích cực,Giảng viên,Chương trình
kết_thúc môn_học mà không được cái gì hết .,Tiêu cực,Trung tính,Chương trình,Khác
chấm điểm gắt .,Tiêu cực,Trung tính,Giảng viên,Giảng viên
rèn_luyện kỹ_năng làm bài_tập .,Tích cực,Tích cực,Giảng viên,Chương trình
"cần có tài_liệu bài_bản , rõ_ràng .",Tiêu cực,Tiêu cực,Chương trình,Khác
"thầy giảng bài hơi nhàm_chán , bám quá sát và slide môn_học .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
không thu_hút được sự tập_trung của sinh_viên .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"không cho bài_tập về nhà , phần học thực_hành có độ dễ chênh_lệch rất nhiểu so với lý_thuyết .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"dễ hiểu , đúng giờ !",Tích cực,Tích cực,Giảng viên,Khác
học_sinh chưa thật_sự đạt được kiến_thức đầy_đủ .,Tiêu cực,Tiêu cực,Khác,Chương trình
"nhiệt_tình , đại_học công_nghiệp việt_trì vẻ , thoải_mái .",Tích cực,Tích cực,Giảng viên,Khác
khi được đề_cập thì thầy cho đó là mục_tiêu cho các bạn tự tìm_hiểu nhằm phát_huy tốt nhất tư_duy_.,Trung tính,Tiêu cực,Chương trình,Chương trình
"nội_dung môn_học , kiến_thức được truyền_đạt rất đầy_đủ .",Tích cực,Tích cực,Giảng viên,Chương trình
nên nêu ra những ví_dụ áp_dụng cho thuc tiễn tốt hơn và dạy sinh_viên nhũng kiến_thức cơ_bản trước đã .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"giảng_viên chủ_động tận_dụng thời_gian lên_lớp , sắp_xếp và nêu rõ các phương_pháp và cho sinh_viên bài_tập và tài_liệu đầy_đủ hơn .",Tiêu cực,Tích cực,Giảng viên,Chương trình
sự nhiệt_tình và tâm_huyết .,Tích cực,Tích cực,Khác,Giảng viên
em xin cám_ơn !,Tích cực,Trung tính,Khác,Khác
cô cho nhiều bài_tập .,Tích cực,Trung tính,Giảng viên,Giảng viên
cần có nhiều giảng_viên có phương_pháp dạy như thầy wzjwz147 .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
"đề thực_hành khá hay , cô tạo được sự kết_nối giữa giảng_viên và sinh_viên .",Tích cực,Tích cực,Chương trình,Giảng viên
đề thi của thầy khá hay khi khai_thác thực_tiễn .,Tích cực,Tích cực,Cơ sở vật chất,Chương trình
"cô quá chất , đi dạy chỉ cần cái điện_thoại .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
cô hơi hiền .,Tích cực,Trung tính,Giảng viên,Giảng viên
sẽ có thông_báo đi học_cụ_thể trên phòng máy để sửa_chữa bài_tập cho những_ai chưa hiểu rõ cách làm .,Tích cực,Tiêu cực,Cơ sở vật chất,Cơ sở vật chất
hay la mắng sinh_viên khi làm bài_tập không đúng .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"giảng_viên hơi khó , bài_tập hơi nặng đối_với những sinh_viên không chuyên_ngành .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
cập_nhật nhiều kiến_thức mới .,Tích cực,Trung tính,Chương trình,Chương trình
giảng_dạy ngiêm túc .,Tích cực,Trung tính,Giảng viên,Giảng viên
"phòng máy cũ , nhưng nhìn_chung thì không có ảnh_hưởng gì vì thầy dạy rất nhiệt_tình .",Trung tính,Tiêu cực,Cơ sở vật chất,Cơ sở vật chất
"giảng_viên ít dạy từ mới , cấu_trúc ngữ_pháp vdotv .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
tuy_nhiên thường cung_cấp bài_tập trên lớp với thời_gian hạn_hẹp và chấm điểm thiếu công_bằng .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"thầy giảng khá chậm_rãi , mạch_lạc , dễ tiếp_thu nên có_thể giải_đáp được những khúc_mắc của học_sinh .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
"giáo_viên cần thông_báo đầy_đủ các vấn_đề sinh_viên cần biết trên moodle , cung_cấp các slide thực_hành trước các buổi thực_hành để sinh_viên tìm_hiểu trước .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"thầy giảng bài ít trong khi kiến_thức rất nhiều , chủ_yếu bảo sinh_viên lên google tìm rồi học , bài_tập thực_hành không đồng_nhất với bài_học lý_thuyết , toàn thực_hành trước cả bài_học .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
sinh_viên than_phiền nhiều sau 3 tuần thì mới có giảng_viên khác thay_thế .,Tiêu cực,Tiêu cực,Chương trình,Giảng viên
"chính vì đặc_thù của môn_học là như_vậy , nên khi code thầy nên quay lại màn_hình cho sinh_viên về xem_lại , thời_gian code lâu , hơn_nữa cho_dù sinh_viên hiểu code nhưng khó để hình_dung các ký_tự một_cách chính_xác .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"sự kiên_nhẫn và tận_tình giảng , chỉ lỗi sai cho sinh_viên khi thực_hành .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
"nếu có môn_học nào trong học_kỳ tiếp_theo mà thầy giảng_dạy được , mong phòng đào_tạo điều_kiện cho thầy tiếp_tục hướng_dẫn lần sau .",Tích cực,Trung tính,Giảng viên,Giảng viên
mong cô ở lâu với trường .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
"thay_vì cho sinh_viên thuyết_trình tất_cả nội_dung môn_học , giáo_viên nên hướng_dẫn nội_dung môn_học và cho sinh_viên tìm_hiểu và thuyết_trình về những nội_dung mới , không nằm trong khung học .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
nên có thêm bài_tập giải trực_tiếp trên lớp .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
hoạt_động cho mỗi nhóm lên thuyết_trình về chủ_đề đã được giao .,Trung tính,Trung tính,Giảng viên,Chương trình
kiến_thức chuyên_môn cao .,Tích cực,Tích cực,Giảng viên,Chương trình
bài_tập thầy nên sát với đề thi hơn .,Tiêu cực,Tiêu cực,Chương trình,Giảng viên
tạo được kiến_thức đầu đầy_đủ cho sinh_viên mới vào học bộ_môn này .,Tích cực,Tích cực,Giảng viên,Chương trình
nói dễ nghe .,Trung tính,Tích cực,Giảng viên,Giảng viên
nên hạn_chế chửi_mắng sinh_viên .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
do giảng_viên giảng bằng tiếng anh nên với một_số bạn không học tốt anh văn như em thì để hiểu được bài giảng quả là một việc khó_khăn .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
cầu_kỳ .,Trung tính,Tích cực,Khác,Khác
hy_vọng môn nào cũng như môn này thì quá tốt .,Tích cực,Tiêu cực,Khác,Khác
giọng nói_khó nghe .,Tiêu cực,Trung tính,Giảng viên,Khác
tránh giảng vòng_vo và phớt_lờ nội_dung chính của bài_học .,Tiêu cực,Tích cực,Giảng viên,Giảng viên
"trợ_giảng tận_tình , dễ_chịu , giảng_viên chính hầu_như không có_mặt .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
dạy rất chi_tiết .,Tích cực,Tích cực,Chương trình,Giảng viên
"giảng_viên không giới_thiệu về nội_dung học và kiểm_tra ( thi ) , nội_dung kiểm_tra ( thi ) quá dài so với thời_gian làm và phân_bố điểm không phù_hợp .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
điều này thiếu ở nhiều bộ_môn khác .,Tiêu cực,Tiêu cực,Chương trình,Khác
do khi ra trường các công_ty chủ_yếu đánh mạnh phần thực_hành và vận_dụng .,Trung tính,Tiêu cực,Khác,Chương trình
giáo_viên truyền_đạt kinh_nghiệm thực_tế nhiều .,Trung tính,Tích cực,Giảng viên,Giảng viên
"xếp nhóm ngẫu_nhiên để sinh_viên thích_nghi với bạn mới , không lệ_thuộc vào một nhóm bạn , tích_cực tương_tác với lớp , không quá nghiêm_khắc gây áp_lực cho sinh_viên , hoà_đồng colonlove .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
"giảng_viên cần sự dụng máy_chiếu , không nên ghi bảng quá nhiều làm mất thời_gian , bài_tập có_thể đưa lớp trưởng để photo ra , không vần chép lên bảng gây mất thời_gian .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
đảm_bảo đủ giờ lên_lớp .,Tích cực,Trung tính,Giảng viên,Giảng viên
thêm giờ sửa bài_tập các chương sau .,Tiêu cực,Trung tính,Chương trình,Chương trình
nhanh_nhẹn .,Tích cực,Trung tính,Giảng viên,Khác
"đôi_khi thầy hay trễ bài_tập trên moodle , và một điều nữa là cả học_kỳ thầy chỉ_điểm danh một lần và nghe các bạn nói là thầy lấy điểm quá_trình vào hôm đó .",Tiêu cực,Trung tính,Giảng viên,Giảng viên
chúng_em học được rất nhiều điều từ thực_tế thông_qua những câu truyện cô kể .,Tích cực,Tích cực,Chương trình,Khác
trình_bày vấn_đề một_cách chính_xác và dễ hiểu .,Tích cực,Tích cực,Giảng viên,Khác
mong cô cải_thiện kỹ_năng trình_bày bảng ạ !,Tiêu cực,Tiêu cực,Giảng viên,Khác
dễ hiểu xinh gái .,Tích cực,Tích cực,Giảng viên,Khác
"khi kiểm_tra trên lớp không thông_báo trước , sinh_viên chưa chuẩn_bị bài kỹ .",Tiêu cực,Tiêu cực,Chương trình,Giảng viên
giảng_viên ôn_tập tập_trung nhiều vào một chủ_đề mà qua nhiều chủ_đề khác .,Tiêu cực,Trung tính,Giảng viên,Giảng viên
sinh_viên hoang_mang không biết mình đang học những gì .,Tiêu cực,Tiêu cực,Chương trình,Khác
"cần có phòng học chất_lượng hơn , yên_tĩnh để sinh_viên có_thể tiếp_thu tốt hơn .",Tiêu cực,Tiêu cực,Chương trình,Cơ sở vật chất
"nên đưa ra một_số bài_tập giải mẫu , nêu lên một_số lỗi thường gặp .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
giọng đọc tương_đối giống bản_ngữ và phát_âm tiếng anh khá chuẩn .,Tích cực,Trung tính,Giảng viên,Chương trình
sử_dụng thời_gian ở lớp hiệu_quả .,Tích cực,Tích cực,Cơ sở vật chất,Giảng viên
"kéo_dài thời_gian gây ra cảm_xúc "" ức_chế "" cảm_xúc này dẫn đến ảnh_hưởng việc tiếp_thu bài ngay sau đó không hiệu_quả và còn phản_tác_dụng .",Tiêu cực,Tiêu cực,Giảng viên,Khác
"quan_trọng nhất là việc giảng rất hay quên mà không chịu note lại , trong khi đó sinh_viên đã nhắc nhiều lần , và hay nhớ lung_tung .",Tiêu cực,Tích cực,Giảng viên,Giảng viên
được đăng trên website môn_học .,Trung tính,Trung tính,Giảng viên,Chương trình
"kiểm_tra thì cực_kỳ vô_lý , phải làm những bài viết loàng ngoằng chẳng khác gì học_sinh cấp 3 .",Tiêu cực,Tiêu cực,Chương trình,Khác
"cách dạy sinh_động , không máy_móc .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
các bài_tập thực_hành và hoạt_động giảng_dạy của thầy đáp_ứng đủ yêu_cầu cơ_bản của môn_học .,Tích cực,Trung tính,Chương trình,Chương trình
em không liên_hệ được mối quan_hệ giữa chương_trình học theo sách và đề thi .,Tiêu cực,Trung tính,Chương trình,Chương trình
giảng_viên chưa đi_sâu vào vấn_đề bài_học .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
sự tận_tình .,Trung tính,Tích cực,Giảng viên,Khác
"qua hai học_kỳ được học các môn_học do thầy wzjwz110 giảng_dạy , thầy dạy rất được .",Tích cực,Trung tính,Giảng viên,Giảng viên
"cho nhiều bài_tập , cách hướng_dẫn , tài_liệu kỹ hơn .",Tiêu cực,Tiêu cực,Chương trình,Giảng viên
vấn_đề không_thể nắm_bắt được hết .,Tiêu cực,Trung tính,Chương trình,Khác
tổ_chức nhiều hoạt_động nhóm .,Tích cực,Trung tính,Chương trình,Khác
không làm bài thuyết_trình nhưng vẫn được nộp báo_cáo .,Trung tính,Trung tính,Giảng viên,Chương trình
chỉ gặp được thầy đúng một lần trong suốt học_kỳ .,Tiêu cực,Trung tính,Giảng viên,Giảng viên
đây là một môn_học khó nhưng_mà chất_lượng slide bài giảng khá kém .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
thầy kể chuyện hay .,Tích cực,Trung tính,Giảng viên,Giảng viên
"cách dạy còn hơi gây áp_lực cho sinh_viên khi học , ít bài_tập quá !",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
he fixes our tasks thoroughly .,Tích cực,Trung tính,Giảng viên,Khác
được biết thêm nhiều kiến_thức khác ở bên ngoài giúp mở_rộng tầm_mắt .,Tích cực,Tích cực,Khác,Chương trình
cập_nhật giáo_trình .,Tiêu cực,Trung tính,Chương trình,Chương trình
"thầy giảng_dạy tốt , đại_học công_nghiệp việt_trì tính , điểm_danh đều_đặn .",Tích cực,Trung tính,Giảng viên,Giảng viên
"thầy nên cập_nhật một_số slide giảng_dạy ( về virus và mã độc ) , thêm vào các loại công_cụ hiện_thời .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
lớp quá đông nên khó tiếp_thu .,Tiêu cực,Tiêu cực,Khác,Chương trình
bài_tập nhiều và giảng_dạy nhiệt_tình .,Tích cực,Tích cực,Chương trình,Giảng viên
lên_lớp đều .,Trung tính,Tích cực,Giảng viên,Giảng viên
một_số lúc .,Trung tính,Trung tính,Khác,Giảng viên
"tiết học còn nhàm_chán , chưa tạo được hứng_thú .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"lớp_học của thầy luôn thoải_mái và đại_học công_nghiệp việt_trì vẻ , không hề gò_ép , cứng_nhắc như các môn khác .",Tích cực,Tiêu cực,Giảng viên,Khác
"giảng_viên nhiệt_tình , không lạm_dụng slide , thầy cho sinh_viên tự thảo_luận , làm bài rồi mới sửa .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
cung_cấp đầy_đủ kiến_thức từng nội_dung bài_học .,Tích cực,Tích cực,Giảng viên,Chương trình
có_thể làm demo trực_tiếp người ở dưới làm theo .,Tiêu cực,Trung tính,Giảng viên,Chương trình
không vận dụng thời_gian hợp_lý .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"bài_tập làm không chắc_chắn , không biết đúng hay sai .",Tiêu cực,Tiêu cực,Chương trình,Khác
"đối_với cô wzjwz32 , cô rất tận_tình , giải_đáp thắc_mắc và hướng đến sinh_viên cùng trao_đổi đối_với y , hoàn_toàn tách_biệt với sinh_viên , không có hướng trao_đổi mà là hướng tra_khảo kiến_thức sinh_viên .",Trung tính,Tích cực,Giảng viên,Giảng viên
có ví_dụ rất cụ_thể .,Tích cực,Tích cực,Giảng viên,Chương trình
dành nhiều thời_gian trên lớp để chép bài lên bảng .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
đôi_khi quá luyên_thuyên các vấn_đề không liên_quan đến môn_học .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
tạm_thời chưa có .,Trung tính,Tiêu cực,Khác,Khác
rồi về nhà không hiểu gì hết .,Tiêu cực,Tiêu cực,Chương trình,Khác
phương_pháp đánh_giá kết_quả không hợp_lý với nội_dung đề ra của môn_học .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
nếu yêu_cầu bài_tập thì có_thể nộp giấy riêng cho cô .,Trung tính,Tiêu cực,Chương trình,Chương trình
hoàn_toàn hài_lòng .,Tích cực,Tích cực,Giảng viên,Khác
nhiều khi đi muộn .,Tiêu cực,Tiêu cực,Giảng viên,Khác
"cô rất tốt , không gì không hài_lòng cả .",Tích cực,Tiêu cực,Giảng viên,Khác
theo em việc học toán trong một giảng_đường quá lớn là rất bất_lợi .,Tiêu cực,Tiêu cực,Chương trình,Khác
cô cho bài_tập về nhà và có hình_thức ghi tên chép phạt nếu không làm .,Tiêu cực,Trung tính,Giảng viên,Chương trình
cung_cấp đủ tài_liệu học_tập trên courses .,Tích cực,Tích cực,Giảng viên,Chương trình
học_hỏi được nhiều kiến_thức .,Tích cực,Trung tính,Giảng viên,Chương trình
"cần phối_hợp các phương_pháp giảng_dạy khác , giảm số_lượng bài_tập .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
dạy hơi chán nhưng chắc tại môn giới_thiệu ngành nó không có nhiều điều để nói lắm .,Tiêu cực,Trung tính,Giảng viên,Chương trình
thầy dạy hơi khó hiểu nhưng rất kỹ .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
"slide hay , giáo_viên nhiệt_tình .",Tích cực,Tích cực,Chương trình,Giảng viên
thầy là idol của em .,Tích cực,Trung tính,Giảng viên,Giảng viên
"slide bài giảng thì rất dễ hiểu nhưng sau khi thầy giảng thì chúng_em cảm_thấy không hiểu gì cả , cách truyền_đạt của thầy làm cho học_sinh rối_rắm , thầy chưa biết cách truyền_đạt những thứ mà học_sinh cần biết .",Tiêu cực,Tiêu cực,Chương trình,Giảng viên
cô rất dễ_thương colonlovelove .,Tích cực,Tích cực,Giảng viên,Khác
"cô cho photo bài_tập quá nhiều , sách toeic cũng sửa không hết nhưng lần nào cũng bắt đi photo tài_liệu khác .",Tiêu cực,Trung tính,Giảng viên,Giảng viên
lớp buồn không có ý_kiến nhiều .,Tiêu cực,Trung tính,Khác,Khác
"nhà_trường nên tuyển chon them những giảng_viên có trình_độ cao , phù_hợp với mức kiến_thức của môn_học .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"cá_nhân em nhận thấy cô wzjwz9 đảm_bảo giờ dạy trên lớp , hoàn_thành chương_trình đúng tiến_độ , nhưng phương_pháp sư_phạm của cô chưa được tốt lắm .",Tiêu cực,Trung tính,Giảng viên,Giảng viên
giáo_trình mới .,Trung tính,Trung tính,Khác,Chương trình
không_khí căng_thẳng .,Tiêu cực,Tiêu cực,Giảng viên,Khác
"các phần_mềm sử_dụng phiên_bản quá cũ , nên update để phù_hợp với chương_trình đào_tạo và thực_hành của sinh_viên ở nhà .",Tiêu cực,Tiêu cực,Cơ sở vật chất,Chương trình
thầy cho bài thực_hành cả sát lý_thuyết lẫn áp_dụng thực_tiễn .,Tích cực,Tích cực,Giảng viên,Chương trình
phần này khó nên giảng nhiều hơn .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
rất dễ hiểu và tiếp_thu .,Tích cực,Tích cực,Giảng viên,Khác
trang_bị máy_tính hiện_đại hơn .,Tiêu cực,Trung tính,Cơ sở vật chất,Cơ sở vật chất
"mới đầu_tiên em nghĩ thầy khó_tính gây áp_lực cho em , thầy cho làm deadline quá_trời mà những lớp khác không có , nhưng đến bây_giờ em mới hiểu nhờ thầy em biết được nhiều dạng bài_tập hơn , thầy thích_hợp dạy môn kiến_trúc máy_tính , nhưng_mà thầy dạy phần_cứng hay hơn ấy ạ .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
"không nêu rõ thời_gian học lý_thuyết , thời_gian bắt_đầu tiết học lý_thuyết bị thay_đổi mà không báo trước , làm ảnh_hưởng đến nhiều sinh_viên , nhất_là các bạn ở xa .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
tôi cảm_nhận được tâm_huyết của thầy .,Tích cực,Trung tính,Giảng viên,Giảng viên
"thuyết_trình còn hơi buồn_ngủ , chưa hấp dẩn lắm .",Tiêu cực,Tiêu cực,Chương trình,Giảng viên
"tận_tâm , tận_lực .",Tích cực,Tích cực,Giảng viên,Khác
học_kỳ 1 khoa wzjwz167 cũng nhận được điểm thi khác trễ .,Tiêu cực,Tiêu cực,Chương trình,Khác
"giảng_viên có quan_tâm đến sinh_viên , đặc_biệt là những sinh_viên trung_bình , yếu , sắp_xếp lịch để dạy phụ_đạo .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
cần cho sinh_viên biết mình cần phải học về cái gì .,Tiêu cực,Tiêu cực,Giảng viên,Khác
rất hài_lòng về giảng_viên .,Tích cực,Tích cực,Giảng viên,Khác
không ạ .,Trung tính,Tiêu cực,Khác,Khác
cực_kỳ tận_tâm .,Tích cực,Tích cực,Khác,Giảng viên
thầy nên cho nhiều ví_dụ hơn .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
còn nghỉ giữa buổi khá nhiều và làm tốn thời_gian vô_ích .,Tích cực,Tiêu cực,Giảng viên,Chương trình
chưa nắm chắc căn_bản đã phải làm_quen với nâng cao .,Tiêu cực,Tiêu cực,Giảng viên,Khác
cung_cấp đầy_đủ giáo_trình .,Tích cực,Tích cực,Giảng viên,Chương trình
"thầy dạy hay , truyền_đạt tốt , mong phòng công_tác sinh_viên liên_hệ thầy để có phương_pháp chiến_lược dạy số kiến_thức đó nhưng với thời_gian ít hơn , chứ nếu một bài dạy trong một năm thì sinh_viên thế_nào chẳng giỏi .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
cần đi_sâu vào vấn_đề .,Tiêu cực,Tiêu cực,Chương trình,Khác
tồi_tệ .,Tiêu cực,Trung tính,Khác,Khác
cung_cấp đầy_đủ tài_liệu học_tập .,Tích cực,Tích cực,Giảng viên,Chương trình
cô có nhiều hoạt_động trong lớp_học khiến cho môn_học dễ tiếp_thu hơn .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
rất ít khi thấy giảng_viên đến phòng thực_hành .,Tiêu cực,Tiêu cực,Giảng viên,Cơ sở vật chất
"nói hơi nhanh , cho bài_tập thêm hơi khó .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
slide bài giảng chưa được đưa lên .,Tích cực,Tiêu cực,Chương trình,Chương trình
cách diễn_đạt của giảng_viên chưa hiệu_quả .,Tiêu cực,Tiêu cực,Chương trình,Giảng viên
học với tma không phù_hợp với nội_dung môn_học .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
tâm_lý_học_sinh !,Tích cực,Trung tính,Giảng viên,Khác
"cô nên cho sinh_viên nâng cao kỹ_năng nói nhiều hơn , vì hầu_như vào lớp không được nói nhiều , dẫn đến khâu speaking còn kém quá , có nhiều câu đơn_giản nhưng tụi em sẽ không biết nói như_thế_nào và không biết mình nói đúng hay sai vì không được ai sữa lỗi .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
có giáo_trình cho môn_học .,Tích cực,Trung tính,Chương trình,Chương trình
thực_hành trên lớp .,Trung tính,Tiêu cực,Chương trình,Chương trình
"có mở_rộng vấn_đề , liên_hệ thực_tế .",Tích cực,Trung tính,Giảng viên,Chương trình
đồ_án quá khó với sinh_viên năm 3 chưa đủ kiến_thức .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
cho nhiều bài_tập khó cho sinh_viên làm .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
hy_vọng học_kỳ sau có_thể học với cô .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
"môn_học rất khách_quan , dễ hiểu .",Tích cực,Tích cực,Chương trình,Khác
"em xin góp_ý là thầy wzjwz95 nên ghi_chép trên bảng ít lại , không nhất_thiết phải ghi hết lý_thuyết căn_bản và nhiều bài_tập cùng chung một dạng ra đầy bảng .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
buổi học chỉ dạy một_nửa thời_gian .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
tài_liệu và slide cập_nhật kịp_thời .,Tích cực,Tiêu cực,Chương trình,Chương trình
với_lại đặc_thù sinh_viên trường em nó khác cô ạ .,Trung tính,Tích cực,Khác,Khác
quá nhiều kiến_thức cần nắm nhưng thời_gian có_hạn .,Trung tính,Tiêu cực,Chương trình,Chương trình
chúng_em học gần hết học_kỳ mới đi thực_hành để làm gì nữa chứ .,Tiêu cực,Trung tính,Chương trình,Chương trình
thầy dạy khá ổn .,Trung tính,Tích cực,Giảng viên,Giảng viên
thêm nhiều bài_tập hay .,Trung tính,Tích cực,Chương trình,Chương trình
các bài_tập thực_hành vận_dụng được kiến_thức đã học trên lớp .,Tích cực,Tiêu cực,Chương trình,Chương trình
có kiến_thức để lập_trình .,Tích cực,Tích cực,Khác,Chương trình
giúp sinh_viên hiểu được cách kiếm tiền và phát_triển bằng thương_mại_điện_tử một_cách rất thực_tiễn .,Tích cực,Tích cực,Giảng viên,Khác
thuyết_trình trước lớp bằng tiếng anh theo chủ_đề .,Tích cực,Trung tính,Chương trình,Chương trình
thảo_luận được nhiều vấn_đề .,Tích cực,Trung tính,Khác,Khác
em mong cô có_thể đổi_mới phương_pháp để có_thể truyền_cảm hứng học_tập cho sinh_viên chúng_em có động_lực_học tốt hơn .,Tiêu cực,Tích cực,Giảng viên,Giảng viên
"nhiều sinh_viên chán_nản , thông_báo nghỉ thì muộn , lên trường rồi mới nhận được thông_báo nghỉ học .",Tiêu cực,Tiêu cực,Giảng viên,Khác
cách thầy giảng_dạy không phù_hợp với em .,Tiêu cực,Trung tính,Giảng viên,Giảng viên
rất hài_lòng về mọi hoạt_động giảng_dạy .,Tích cực,Trung tính,Giảng viên,Khác
cô rất dễ_thương colonhihi .,Tích cực,Tích cực,Giảng viên,Khác
không song_song với kiến_thức được học ở lớp lý_thuyết .,Tích cực,Tiêu cực,Chương trình,Chương trình
có sử_dụng website môn_học để trao_đổi tài_liệu .,Tích cực,Tiêu cực,Giảng viên,Chương trình
thường_xuyên đăng slide bài giảng lên hệ_thống moodle .,Tích cực,Trung tính,Giảng viên,Giảng viên
luôn dạy đúng và đủ số tiết .,Trung tính,Tích cực,Giảng viên,Giảng viên
